dataset,method,label,recall_mean,recall_std,query_time_ms_mean,query_time_ms_std,speedup_mean,speedup_std,params
sift1m,exact,exact,1.0,0.0,15.501296043395996,0.0,0.9895803518228379,0.0,{}
sift1m,des_knn_pca,DES-kNN (Heuristic),1.0,0.0,4.895386695861816,0.0,3.127023528473088,0.0,"{""confidence"": 0.99, ""max_cv"": 0.3, ""n_components"": 32, ""tolerance"": 800}"
sift1m,des_knn_pca,DES-kNN (Heuristic),1.0,0.0,4.911495208740234,0.0,3.1674434142983956,0.0,"{""confidence"": 0.99, ""max_cv"": 0.3, ""n_components"": 32, ""tolerance"": 900}"
sift1m,des_knn_pca,DES-kNN (Heuristic),1.0,0.0,4.93507719039917,0.0,3.1453554449002223,0.0,"{""confidence"": 0.99, ""max_cv"": 0.3, ""n_components"": 32, ""tolerance"": 1000}"
sift1m,des_knn_pca,DES-kNN (Heuristic),1.0,0.0,4.826331615447998,0.0,3.1658729296184767,0.0,"{""confidence"": 0.99, ""max_cv"": 0.3, ""n_components"": 32, ""tolerance"": 1100}"
sift1m,des_knn_pca,DES-kNN (Heuristic),1.0,0.0,4.900644779205322,0.0,3.158564504296648,0.0,"{""confidence"": 0.99, ""max_cv"": 0.3, ""n_components"": 32, ""tolerance"": 1200}"
sift1m,des_knn_guarantee,DES-kNN (Guarantee),1.0,0.0,20.601551055908203,0.0,0.7477875872447612,0.0,"{""confidence"": 0.99, ""tolerance"": 1}"
sift1m,des_knn_guarantee,DES-kNN (Guarantee),0.9997,0.0,20.608341217041016,0.0,0.7363557292305597,0.0,"{""confidence"": 0.99, ""tolerance"": 2}"
sift1m,des_knn_guarantee,DES-kNN (Guarantee),0.9997,0.0,20.49869155883789,0.0,0.7422292224974112,0.0,"{""confidence"": 0.99, ""tolerance"": 3}"
sift1m,des_knn_guarantee,DES-kNN (Guarantee),0.9999,0.0,20.225954055786133,0.0,0.7507373050132301,0.0,"{""confidence"": 0.99, ""tolerance"": 4}"
sift1m,des_knn_guarantee,DES-kNN (Guarantee),0.9989,0.0,19.576780319213867,0.0,0.7755047087780096,0.0,"{""confidence"": 0.99, ""tolerance"": 5}"
sift1m,hnsw,HNSW,0.9957999999999999,0.0,0.1141100823879242,0.0,139.5678141100488,0.0,"{""M"": 16, ""ef"": 200, ""ef_construction"": 200}"
sift1m,hnsw,HNSW,0.9997999999999999,0.0,0.13377811014652252,0.0,119.39233450066112,0.0,"{""M"": 16, ""ef"": 250, ""ef_construction"": 200}"
sift1m,hnsw,HNSW,0.9997999999999999,0.0,0.14292286336421967,0.0,111.00141093856172,0.0,"{""M"": 16, ""ef"": 300, ""ef_construction"": 200}"
sift1m,hnsw,HNSW,0.9999,0.0,0.15850350260734558,0.0,100.54975138631998,0.0,"{""M"": 16, ""ef"": 350, ""ef_construction"": 200}"
sift1m,hnsw,HNSW,1.0,0.0,0.16956117749214172,0.0,93.59623484977288,0.0,"{""M"": 16, ""ef"": 400, ""ef_construction"": 200}"
sift1m,annoy,Annoy,1.0,0.0,3.3721728324890137,0.0,4.589115243859898,0.0,"{""n_trees"": 50, ""search_k"": 70000}"
sift1m,annoy,Annoy,1.0,0.0,3.689544677734375,0.0,4.186444067392209,0.0,"{""n_trees"": 50, ""search_k"": 75000}"
sift1m,annoy,Annoy,1.0,0.0,4.035760402679443,0.0,3.7861118070364843,0.0,"{""n_trees"": 50, ""search_k"": 80000}"
sift1m,annoy,Annoy,1.0,0.0,4.393162250518799,0.0,3.4803519080919,0.0,"{""n_trees"": 50, ""search_k"": 85000}"
sift1m,annoy,Annoy,1.0,0.0,4.711409091949463,0.0,3.275333553576201,0.0,"{""n_trees"": 50, ""search_k"": 90000}"
