Dataset,TargetRecall,Method,Mode,Recall@10,Time(ms),ScanRatio(%),ExpectedMisses,BuildTime(s)
fashion_mnist,0.95,exact,-,1.0000±0.0000,86.22±0.00,-,-,-
fashion_mnist,0.95,DES-kNN (Heuristic),heuristic,1.0000±0.0000,7.14±0.00,1.3,393.98,-
fashion_mnist,0.95,DES-kNN (Guarantee),guarantee,0.9999±0.0000,288.02±0.00,100.0,0.14,-
fashion_mnist,0.95,HNSW,-,0.9683±0.0000,0.06±0.00,-,-,1.45
fashion_mnist,0.95,Annoy,-,0.9980±0.0000,1.38±0.00,-,-,2.62
fashion_mnist,0.99,exact,-,1.0000±0.0000,86.22±0.00,-,-,-
fashion_mnist,0.99,DES-kNN (Heuristic),heuristic,1.0000±0.0000,7.14±0.00,1.3,393.98,-
fashion_mnist,0.99,DES-kNN (Guarantee),guarantee,0.9999±0.0000,288.02±0.00,100.0,0.14,-
fashion_mnist,0.99,HNSW,-,0.9923±0.0000,0.10±0.00,-,-,1.45
fashion_mnist,0.99,Annoy,-,0.9980±0.0000,1.38±0.00,-,-,2.62
