Dataset,TargetRecall,Method,Mode,Recall@10,Time(ms),ScanRatio(%),ExpectedMisses,BuildTime(s)
gist1m,0.95,exact,-,1.0000±0.0000,1955.83±5.75,-,-,-
gist1m,0.95,DES-kNN (Heuristic),heuristic,0.9993±0.0000,117.63±0.48,2.8,476.31,-
gist1m,0.95,DES-kNN (Guarantee),guarantee,0.9985±0.0001,902.15±1.57,99.9,2.11,-
gist1m,0.95,HNSW,-,0.9870±0.0003,6.26±0.00,-,-,124.24
gist1m,0.95,Annoy,-,0.9835±0.0000,37.33±0.08,-,-,58.88
gist1m,0.99,exact,-,1.0000±0.0000,1955.83±5.75,-,-,-
gist1m,0.99,DES-kNN (Heuristic),heuristic,0.9993±0.0000,117.63±0.48,2.8,476.31,-
gist1m,0.99,DES-kNN (Guarantee),guarantee,0.9985±0.0001,902.15±1.57,99.9,2.11,-
gist1m,0.99,HNSW,-,0.9907±0.0001,7.92±0.02,-,-,124.31
gist1m,0.99,Annoy,-,0.9909±0.0000,55.46±0.10,-,-,58.44
