Dataset,TargetRecall,Method,Mode,Recall@10,Time(ms),ScanRatio(%),ExpectedMisses,BuildTime(s)
mnist,0.95,exact,-,1.0000±0.0000,87.95±0.00,-,-,-
mnist,0.95,DES-kNN (Heuristic),heuristic,1.0000±0.0000,7.02±0.00,1.3,369.93,-
mnist,0.95,DES-kNN (Guarantee),guarantee,1.0000±0.0000,292.24±0.00,100.0,0.01,-
mnist,0.95,HNSW,-,0.9667±0.0000,0.07±0.00,-,-,1.75
mnist,0.95,Annoy,-,0.9977±0.0000,1.41±0.00,-,-,2.61
mnist,0.99,exact,-,1.0000±0.0000,87.95±0.00,-,-,-
mnist,0.99,DES-kNN (Heuristic),heuristic,1.0000±0.0000,7.02±0.00,1.3,369.93,-
mnist,0.99,DES-kNN (Guarantee),guarantee,1.0000±0.0000,292.24±0.00,100.0,0.01,-
mnist,0.99,HNSW,-,0.9934±0.0000,0.11±0.00,-,-,1.74
mnist,0.99,Annoy,-,0.9977±0.0000,1.41±0.00,-,-,2.61
