Dataset,TargetRecall,Method,Mode,Recall@10,Time(ms),ScanRatio(%),ExpectedMisses,BuildTime(s)
sift1m,0.95,exact,-,1.0000±0.0000,15.50±0.00,-,-,-
sift1m,0.95,DES-kNN (Heuristic),heuristic,1.0000±0.0000,4.83±0.00,1.2,686.02,-
sift1m,0.95,DES-kNN (Guarantee),guarantee,0.9989±0.0000,19.58±0.00,99.9,1.07,-
sift1m,0.95,HNSW,-,0.9958±0.0000,0.11±0.00,-,-,0.50
sift1m,0.95,Annoy,-,1.0000±0.0000,3.37±0.00,-,-,0.66
sift1m,0.99,exact,-,1.0000±0.0000,15.50±0.00,-,-,-
sift1m,0.99,DES-kNN (Heuristic),heuristic,1.0000±0.0000,4.83±0.00,1.2,686.02,-
sift1m,0.99,DES-kNN (Guarantee),guarantee,0.9989±0.0000,19.58±0.00,99.9,1.07,-
sift1m,0.99,HNSW,-,0.9958±0.0000,0.11±0.00,-,-,0.50
sift1m,0.99,Annoy,-,1.0000±0.0000,3.37±0.00,-,-,0.66
